tract,pop_age_under5,pop_age_5to9,pop_age_10to14,pop_age_15to19,pop_age_20to24,pop_age_25to29,pop_age_30to34,pop_age_35to39,pop_age_40to44,pop_age_45to49,pop_age_50to54,pop_age_55to59,pop_age_60to64,pop_age_65to69,pop_age_70to74,pop_age_75to79,pop_age_80to84,pop_age_85plus
42003473402,3.5,10.5,9.5,6.0,2.2,3.1,4.7,4.6,10.9,6.6,5.5,4.9,9.8,5.3,3.1,5.5,1.3,2.8
42003473500,3.4,7.2,11.6,7.5,2.2,4.2,2.0,5.4,8.3,7.8,8.7,7.5,7.2,5.7,3.5,2.5,2.2,3.2
42003473601,4.8,5.6,7.9,6.6,2.5,1.7,4.8,5.5,7.1,8.9,6.9,5.3,6.9,6.3,6.7,5.0,1.8,5.7
42003473602,6.2,4.9,5.0,5.9,2.1,1.2,5.3,8.3,5.2,4.1,7.3,7.5,8.5,7.3,9.4,4.3,2.2,5.5
42003474101,4.7,7.3,8.2,9.5,3.3,2.9,2.2,6.6,10.0,6.2,7.9,11.2,3.9,5.3,3.2,5.5,1.0,1.2
42003474102,7.0,8.1,7.7,8.7,2.0,3.1,8.7,5.1,6.4,6.2,6.4,5.8,5.8,5.9,2.3,3.4,1.4,5.8
42003474201,5.3,5.3,7.6,6.1,1.9,2.2,5.9,4.3,5.6,7.4,9.1,10.9,9.4,6.9,3.5,4.0,2.6,1.9
42003474202,5.6,5.3,8.4,7.2,4.1,1.8,3.1,4.2,7.4,7.6,10.0,10.1,4.2,3.1,2.9,3.4,2.5,9.0
42003474203,5.8,6.9,7.5,7.6,3.4,2.3,5.6,5.2,6.5,6.4,11.1,8.6,6.1,5.3,3.9,2.5,2.1,3.2
42003475101,3.1,3.5,4.7,3.4,3.0,9.2,4.0,5.0,6.1,11.7,4.9,4.4,6.0,9.3,6.1,3.9,5.3,6.4
42003475102,1.6,4.3,10.0,7.1,1.6,2.1,5.4,6.5,8.2,7.6,8.5,9.1,8.0,8.3,4.9,2.7,0.6,3.5
42003475200,5.1,5.8,6.9,5.2,6.3,5.1,4.8,5.2,5.3,5.2,11.2,7.0,7.8,4.5,4.4,4.6,2.9,2.7
42003475301,6.3,3.7,4.2,2.7,3.8,5.6,6.2,6.9,2.6,6.2,5.9,7.9,16.3,5.9,4.6,3.3,3.0,5.1
42003475303,7.9,7.2,3.8,2.5,2.6,3.8,9.0,7.5,5.0,4.4,3.6,6.6,9.3,8.7,8.5,4.3,2.2,2.9
42003475304,6.2,6.5,3.1,6.6,4.3,6.5,7.5,6.1,3.7,6.7,5.6,7.5,11.1,7.8,4.8,1.8,1.5,2.8
42003475401,4.0,5.2,5.3,2.7,3.0,9.0,3.0,6.1,7.7,4.5,4.8,10.2,5.2,6.5,9.3,5.4,4.6,3.5
42003475402,5.0,5.1,6.3,4.5,5.0,5.6,7.6,3.3,6.2,5.0,12.4,7.6,7.8,5.4,4.6,2.2,2.9,3.6
42003476100,3.4,6.9,7.7,1.4,3.8,9.6,8.7,6.5,12.3,4.9,7.2,5.0,4.5,7.2,3.8,2.0,3.9,1.4
42003476200,3.3,2.5,5.0,6.3,4.2,6.9,9.3,8.0,7.8,3.4,5.3,10.4,7.0,8.5,2.9,4.3,2.6,2.2
42003477100,6.2,3.0,4.0,4.3,1.7,7.0,6.6,7.2,3.9,4.2,6.0,8.8,8.5,8.3,6.6,7.8,2.1,3.6
42003477200,4.3,3.4,3.8,6.4,2.3,3.7,4.3,5.8,6.5,2.9,8.4,8.6,7.7,8.2,3.4,5.4,5.3,9.5
42003477300,7.5,7.8,4.7,5.1,4.2,7.7,4.5,12.1,7.2,2.0,5.9,8.2,6.1,4.7,4.2,1.7,3.1,3.4
