PARID,Address,Lat,Lon
0087K00105000000,2825 MURRAY AVE PITTSBURGH PA 15217,40.42762695,-79.92571022
0128K00100000000,7070 FORWARD AVE PITTSBURGH PA 15217,40.4295994,-79.9236213
0175J00253000000,7520 PENN AVE PITTSBURGH PA 15208,40.44720986,-79.89568593
0054K00160000000,3909 RAFF ST PITTSBURGH PA 15207,40.42748614,-79.94363149
0029N00077000000,2825 SARAH ST PITTSBURGH PA 15203,40.42514496,-79.96566743
0015N00075000000,873 BOGGS AVE PITTSBURGH PA 15211,40.41637986,-80.01288405
0034J00160000000,615 SOUTHCREST DR PITTSBURGH PA 15226,40.40784737,-80.01375739
0046F00136000000,2403 PERRYSVILLE AVE PITTSBURGH PA 15214,40.4678486,-80.0102063
0023K00346000000,1310 ARCH ST PITTSBURGH PA 15212,40.45686631,-80.00907925
0022R00065000000,1014 SHEFFIELD ST PITTSBURGH PA 15233,40.45468676,-80.02024262
0160P00084000000,136 SHERIDAN AVE PITTSBURGH PA 15202,40.46121412,-79.92346053
0160S00239000000,245 LINCOLN AVE PITTSBURGH PA 15202,40.46052944,-79.91328322
0137P00050000000,3336 BROWNSVILLE RD PITTSBURGH PA 15227,40.37733701,-79.97552381
0188K00119000000,3840 BROWNSVILLE RD PITTSBURGH PA 15227,40.369128,-79.97582723
0160A00220000000,731 CALIFORNIA AVE PITTSBURGH PA 15202,40.45951935,-80.01729816
0160A00126000000,925 CALIFORNIA AVE PITTSBURGH PA 15202,40.45908191,-80.01954198
0160J00040000000,220 S HOME AVE PITTSBURGH PA 15202,40.3719839,-80.0068173
0214H00045000000,646 GRANDVIEW AVE PITTSBURGH PA 15202,40.43569097,-80.01404922
0250D00060000000,100 ADDIE CT PITTSBURGH PA 15234,40.36362875,-80.01783063
0375C00310000000,325 ELECTRIC AVE EAST PITTSBURGH PA 15112,40.40204118,-79.83663995
0342J00347000000,1123 VANCE AVE CORAOPOLIS PA 15108,40.5149613,-80.16308584
0343N00051000000,901 PENNSYLVANIA AVE CORAOPOLIS PA 15108,40.52177675,-80.16397371
0342L00340000000,1347 STATE AVE CORAOPOLIS PA 15108,40.51462585,-80.15771771
0036A00035000000,1088 GREENTREE RD PITTSBURGH PA 15220,40.4319886,-80.0388016
0098C00001000000,1426 HILLSDALE AVE PITTSBURGH PA 15216,40.39409845,-80.0369532
0070G00122000000,160 W PROSPECT AVE PITTSBURGH PA 15205,40.44768836,-80.07186398
0130G00222000000,411 E 8TH AVE HOMESTEAD PA 15120,40.408868,-79.906895
0079B00293000000,1 HOWARD ST PITTSBURGH PA 15209,40.4639977,-80.0002165
0043A00288000000,501 FRIENDSHIP AVE MC KEES ROCKS PA 15136,40.47064185,-80.0647042
0179A00090000C00,611 E WATERFRONT DR HOMESTEAD PA 15120,40.41040133,-79.91496783
0506G00042000000,109 WALNUT ST SEWICKLEY PA 15143,40.53657404,-80.18713066
0506G00087000000,320 OHIO RIVER BLVD SEWICKLEY PA 15143,40.53832498,-80.18776057
0363B00010000000,360 MARYLAND AVE OAKMONT PA 15139,40.51887736,-79.84186746
0074S00100000000,136 SHINGISS ST MC KEES ROCKS PA 15136,40.47316962,-80.05344399
0455N00200000001,103 PENN AVE TURTLE CREEK PA 15145,40.4046433,-79.8255615
0455G00175000000,101 VALLEY PARK DR TURTLE CREEK PA 15145,40.409613,-79.823463
0455G00050000000,200 KENYON ST TURTLE CREEK PA 15145,40.41337837,-79.82186189
0465E00150000000,1810 MYER AVE PORT VUE PA 15133,40.33381657,-79.86645809
0168J00359000000,1313 MIDDLE ST PITTSBURGH PA 15215,40.45823118,-80.00055736
0421P00108000000,820 OHIO RIVER BLVD SEWICKLEY PA 15143,40.53299964,-80.17723293
0176C00230000000,515 REBECCA AVE PITTSBURGH PA 15221,40.4422759,-79.8930766
0176C00110000000,516 REBECCA AVE PITTSBURGH PA 15221,40.4422759,-79.8930766
0176B00276000000,461 PEEBLES ST PITTSBURGH PA 15221,40.442024,-79.893996
0546B00090000000,209 CALDWELL AVE WILMERDING PA 15148,40.39248963,-79.81068192
0546B00149000000,210 WESTINGHOUSE AVE WILMERDING PA 15148,40.39247914,-79.80982397
0546C00002000000,314 COMMERCE ST WILMERDING PA 15148,40.3927033,-79.8074901
0888S00200000000,1400 KNIGHTS DR SOUTH PARK PA 15129,40.2896729,-80.0306722
0666H00100000000,1205 LOGAN RD BETHEL PARK PA 15102,40.31155436,-80.03429765
0093J00148000000,1005 GLASS RUN RD PITTSBURGH PA 15236,40.38955935,-79.96375607
0743S00015000000,1000 STONECLIFFE DR MONROEVILLE PA 15146,40.4342,-79.766599
0389G00125000000,500 SOPHIA AVE PITTSBURGH PA 15236,40.34126195,-79.97052955
0475C00025000000,7168 BAPTIST RD BETHEL PARK PA 15102,40.33548543,-80.02004186
0857A00068000000,1000 STONECLIFFE DR MONROEVILLE PA 15146,40.4342,-79.766599
0742P00236000000,3730 EVERGREEN DR MONROEVILLE PA 15146,40.444882,-79.77769657
0857K00235000000,900 MACBETH DR MONROEVILLE PA 15146,40.426265,-79.757895
0977L00359000000,203 DEAUVILLE DR MONROEVILLE PA 15146,40.4334759,-79.7395053
0193R00090000000,10 PURCHASE PL PITTSBURGH PA 15228,40.36656815,-80.05699452
0546E00260000000,2508 HYER AVE NORTH VERSAILLES PA 15137,40.389876,-79.8182496
0457F00200000000,500 IRISHTOWN RD NORTH VERSAILLES PA 15137,40.389401,-79.824949
0457K00197000000,600 DELLA DR NORTH VERSAILLES PA 15137,40.3880398,-79.8263574
0457L00048000000,1800 HYER AVE NORTH VERSAILLES PA 15137,40.389876,-79.8182496
0716H00351000000,8800 DUNCAN AVE ALLISON PARK PA 15101,40.5595029,-79.9598216
