"Label (Grouping)","Total"
"    Estimate","1,467"
"Census Tract 4803, Allegheny County, Pennsylvania",""
"    Estimate","1,483"
"Census Tract 4804, Allegheny County, Pennsylvania",""
"    Estimate","2,234"
"Census Tract 4810, Allegheny County, Pennsylvania",""
"    Estimate","1,775"
"Census Tract 4825, Allegheny County, Pennsylvania",""
"    Estimate","1,014"
"Census Tract 4838, Allegheny County, Pennsylvania",""
"    Estimate","2,018"
"Census Tract 4843, Allegheny County, Pennsylvania",""
"    Estimate","1,948"
"Census Tract 4845, Allegheny County, Pennsylvania",""
"    Estimate","2,894"
"Census Tract 4846, Allegheny County, Pennsylvania",""
"    Estimate","1,129"
"Census Tract 4850, Allegheny County, Pennsylvania",""
"    Estimate","611"
"Census Tract 4867, Allegheny County, Pennsylvania",""
"    Estimate","1,529"
"Census Tract 4868, Allegheny County, Pennsylvania",""
"    Estimate","1,020"
"Census Tract 4869, Allegheny County, Pennsylvania",""
"    Estimate","950"
"Census Tract 4870, Allegheny County, Pennsylvania",""
"    Estimate","972"
"Census Tract 4881, Allegheny County, Pennsylvania",""
"    Estimate","1,015"
"Census Tract 4882, Allegheny County, Pennsylvania",""
"    Estimate","1,700"
"Census Tract 4883, Allegheny County, Pennsylvania",""
"    Estimate","960"
"Census Tract 4884, Allegheny County, Pennsylvania",""
"    Estimate","2,162"
"Census Tract 4885, Allegheny County, Pennsylvania",""
"    Estimate","1,358"
"Census Tract 4886, Allegheny County, Pennsylvania",""
"    Estimate","2,250"
"Census Tract 4890.01, Allegheny County, Pennsylvania",""
"    Estimate","2,136"
"Census Tract 4890.02, Allegheny County, Pennsylvania",""
"    Estimate","1,511"
"Census Tract 4900.02, Allegheny County, Pennsylvania",""
"    Estimate","2,426"
"Census Tract 4900.03, Allegheny County, Pennsylvania",""
"    Estimate","1,524"
"Census Tract 4900.04, Allegheny County, Pennsylvania",""
"    Estimate","1,936"
"Census Tract 4911.01, Allegheny County, Pennsylvania",""
"    Estimate","2,378"
"Census Tract 4912, Allegheny County, Pennsylvania",""
"    Estimate","1,030"
