STOP_ID,ROUTE,STOP_ROUTE,STOP_NAME,CLEVER_ID,LATITUDE,LONGITUDE,ALL_ROUTES,SHELTER,STOP_TYPE,CURRENT_STOP,FY19_AVG_ON,FY19_AVG_OFF,FY19_AVG_TOTAL,FY19_RANK,1806_ON,1806_OFF,1809_ON,1809_OFF,1811_ON,1811_OFF,1903_ON,1903_OFF,1906_ON,1906_OFF
E17296,P7,E17296_P7,EAST BUSWAY AT HOMEWOOD STAT,16119,40.452909,-79.899058,"P12, P16, P67, P69, P7, P76, P78",No Shelter,Busway,,0,8,8,6353,0.2,8.1,0.2,8.6,0.3,7.7,0.2,9.3,0.0,8.7
E46050,P16,E46050_P16,PENN AVE AT GREENSBURG PIKE,7904,40.444633,-79.861206,"67, P12, P16, P67",No Shelter,Bus,,0,8,8,6354,0.2,8.2,0.3,10.4,0.2,7.7,0.3,6.4,0.1,8.0
N36520,P13,N36520_P13,MT ROYAL BLVD AT GARDEN PL,2443,40.524586,-79.961939,"2, P13",No Shelter,Bus,,0,8,8,6355,0.1,6.9,0.1,6.7,0.0,6.1,0.1,9.2,0.3,9.7
E57710,67,E57710_67,WILKINS AVE AT WORTH ST,7687,40.446544,-79.912905,"67, 69, 74",No Shelter,Bus,,0,8,8,6356,0.1,4.7,0.3,9.6,0.4,8.7,0.4,9.2,0.7,10.2
E14290,87,E14290_87,CHISLETT ST OPP MARTHA ST,9350,40.484288,-79.92707,"75, 87",No Shelter,Bus,,0,8,8,6357,0.1,7.0,0.1,8.7,0.1,7.5,0.2,8.4,0.0,9.7
S21580,52L,S21580_52L,GREENSPRINGS AVE OPP EASTMAN,11752,40.383706,-79.878378,52L,No Shelter,Bus,,0,8,8,6358,0.1,8.3,0.1,7.5,0.1,7.4,0.0,8.4,0.2,6.8
P02600,40,P02600_40,LIBERTY AVE OPP 9TH ST,15283,40.442812,-79.998058,"1, 11, 15, 29, 31, 39, 40, 44, 6, 81, 82, 83, G2, G3, G31, O1, O12, P10, P17, P78",No Shelter,Bus,,0,8,8,6359,0.1,7.9,0.3,7.4,0.3,7.0,0.6,8.6,0.0,6.9
E05180,65,E05180_65,BEACON ST AT MUNHALL RD,8043,40.43442,-79.924924,"65, 93",No Shelter,Bus,,0,8,8,6360,0.1,5.2,0.3,7.5,0.1,7.2,0.1,9.2,0.0,8.9
W04180,20,W04180_20,CHARTIERS AVE EXT AT OWEN ST,3649,40.466514,-80.076901,20,No Shelter,Bus,,0,8,8,6361,0.1,5.9,0.2,11.4,0.2,9.6,0.1,6.5,0.1,6.6
S38680,52L,S38680_52L,PENNSYLVANIA AVE AT TAFT AVE,11767,40.362033,-79.861697,52L,No Shelter,Bus,,0,8,8,6362,0.1,8.7,0.1,8.5,0.1,7.5,0.0,7.2,0.0,9.1
E06660,58,E06660_58,BELLEFIELD AVE AT BOARD OF E,32,40.444405,-79.950907,58,No Shelter,Bus,,0,8,8,6363,0.1,6.7,0.0,11.0,0.1,8.6,0.1,7.3,0.1,8.6
S70258,44,S70258_44,MOUNTAIN AVE OPP SCHULER ST,20258,40.409771,-79.977471,44,No Shelter,Bus,,0,8,8,6364,0.1,5.9,0.2,8.5,0.2,8.7,0.2,7.4,0.6,8.9
E32745,93,E32745_93,JOHNSTON AVE AT WINSTON ST,12113,40.405745,-79.938284,"57, 93",No Shelter,Bus,,0,8,8,6365,0.1,7.6,0.3,9.4,0.3,8.6,0.1,7.0,0.0,6.5
E70388,P16,E70388_P16,LEECHBURG RD OPP SUTTON DR,19074,40.491577,-79.792977,"77, P16",No Shelter,Bus,,0,8,8,6366,0.1,7.5,0.0,6.7,0.0,8.0,0.0,7.8,0.0,8.8
E17314,P78,E17314_P78,EAST BUSWAY AT HERRON STATIO,16122,40.459405,-79.966303,"P10, P12, P16, P67, P69, P7, P76, P78",No Shelter,Busway,,0,8,8,6367,0.0,12.0,0.0,0.9,0.1,7.5,0.7,7.4,0.5,12.2
N36380,P13,N36380_P13,MT ROYAL BLVD AT WOOD PL,2447,40.532391,-79.967756,"2, P13",No Shelter,Bus,,0,8,8,6368,0.0,9.9,0.0,8.2,0.1,7.9,0.0,7.9,0.0,8.1
S48770,52L,S48770_52L,WHITAKER WAY AT LARKSPUR ST,18403,40.403328,-79.890265,"52L, 59",No Shelter,Bus,,0,8,8,6369,0.0,6.5,1.2,8.3,0.2,7.0,0.2,8.9,0.0,7.1
N24250,19,N24250_019,GRANT AVE AT WASHINGTON AVE,1671,40.490704,-80.05002,19L,No Shelter,Bus,,0,8,8,6370,0.0,8.6,0.0,7.8,0.1,6.5,0.4,8.9,0.0,8.0
X13710,39,X13710_39,PIONEER AVE OPP GALLION AVE,6109,40.398626,-80.022034,39,No Shelter,Bus,,0,8,8,6371,0.0,5.2,0.2,9.5,0.2,7.2,0.3,10.8,0.0,8.3
S48562,Y45,S48562_Y45,WEYMAN RD AT HENNIG DR FS,20228,40.364621,-79.999511,Y45,No Shelter,Bus,,0,8,8,6372,0.0,9.2,0.1,6.7,0.2,6.9,0.0,7.7,0.0,8.7
E04230,69,E04230_69,ARDMORE BLVD OPP BRYN MAWR R,18544,40.432086,-79.865042,"69, P69, P76",No Shelter,Bus,,1,7,8,6373,0.0,0.3,0.0,0.0,1.6,12.1,0.9,13.1,1.3,11.7
N31780,91,N31780_91,MAIN ST AT #1841,12775,40.494316,-79.919957,"1, 91",No Shelter,Bus,,3,5,8,6374,0.0,0.0,3.8,5.3,3.3,5.0,5.2,6.3,4.8,6.0
N31770,1,N31770_1,MAIN ST OPP CANAL ST,12767,40.494475,-79.932426,"1, 91",No Shelter,Bus,,5,3,8,6375,0.0,0.0,3.7,5.4,7.5,4.1,6.4,3.4,5.2,3.5
S02965,59,S02965_59,8TH AVE OPP ANDREW ST,10903,40.409206,-79.901104,"52L, 59, 61C",No Shelter,Bus,,4,4,8,6376,,,4.0,4.2,3.9,5.0,3.7,5.0,3.4,2.7
E01460,28X,E01460_28X,FIFTH AVE AT NEGLEY AVE,3143,40.449884,-79.92959,"28X, 71B, 71D",No Shelter,Bus,,7,1,8,6377,,,,,5.5,0.6,9.3,0.9,6.2,0.9
E01470,28X,E01470_28X,FIFTH AVE AT NEGLEY AVE,3257,40.449721,-79.9297,"28X, 71B, 71D",No Shelter,Bus,,0,8,8,6378,,,,,0.1,6.2,0.0,8.9,0.0,7.6
E01650,28X,E01650_28X,FIFTH AVE AT SHADY AVE,8311,40.452952,-79.920671,"28X, 71D",No Shelter,Bus,,7,1,8,6379,,,,,6.6,0.5,7.3,1.0,7.6,0.2
E45730,P67,E45730_P67,PENN AVE AT BEACON HILL DR F,7902,40.443853,-79.864629,"67, P12, P16, P67",No Shelter,Bus,,0,8,8,6380,,,,,0.4,7.9,0.6,8.4,0.1,8.9
E45990,P67,E45990_P67,PENN AVE AT FINDLEY DR WEST,7901,40.444071,-79.864509,"67, P12, P16, P67",No Shelter,Bus,,8,0,8,6381,,,,,9.3,0.5,7.1,0.0,8.2,0.3
E46510,P67,E46510_P67,PENN AVE AT SUPERIOR ST,7968,40.44239,-79.867993,"67, P12, P67",No Shelter,Bus,,1,7,8,6382,,,,,1.0,4.0,0.4,6.4,0.7,9.2
N71340,8,N71340_8,PERRY HWY AT OLD PERRYSVILLE,22671,40.507789,-80.029588,8,No Shelter,Bus,,1,7,8,6383,,,,,,,,,0.8,6.8
